Algorithm,Parameters,Validation_MMD
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(0.6791666666666667)}",0.31022
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(0.7749999999999999)}",0.30372
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(0.8708333333333333)}",0.29795
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(0.9666666666666666)}",0.29795
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.0625)}",0.30050
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.1583333333333332)}",0.30348
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.2541666666666667)}",0.30151
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.3499999999999999)}",0.30254
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.445833333333333)}",0.30254
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.5416666666666665)}",0.30144
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.6375)}",0.29877
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.7333333333333332)}",0.30444
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.8291666666666664)}",0.30446
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(1.9249999999999998)}",0.30446
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.0208333333333335)}",0.30098
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.1166666666666667)}",0.30098
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.2125)}",0.30098
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.3083333333333336)}",0.30263
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.404166666666667)}",0.30263
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007112500000000001), 'kde_bandwidth': np.float64(2.5)}",0.30081
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.2)}",0.30246
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.29583333333333334)}",0.30710
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.39166666666666666)}",0.29841
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.4875)}",0.30612
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.5833333333333333)}",0.30517
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.6791666666666667)}",0.29906
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.7749999999999999)}",0.30426
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.8708333333333333)}",0.30114
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(0.9666666666666666)}",0.31013
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.0625)}",0.30379
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.1583333333333332)}",0.30379
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.2541666666666667)}",0.30577
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.3499999999999999)}",0.30577
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.445833333333333)}",0.30307
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.5416666666666665)}",0.30307
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.6375)}",0.30307
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.7333333333333332)}",0.30419
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.8291666666666664)}",0.30419
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(1.9249999999999998)}",0.30434
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.0208333333333335)}",0.30434
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.1166666666666667)}",0.30434
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.2125)}",0.30453
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.3083333333333336)}",0.30453
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.404166666666667)}",0.29877
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.007525000000000001), 'kde_bandwidth': np.float64(2.5)}",0.29877
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.2)}",0.30061
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.29583333333333334)}",0.30189
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.39166666666666666)}",0.30397
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.4875)}",0.30023
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.5833333333333333)}",0.30260
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.6791666666666667)}",0.30612
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.7749999999999999)}",0.30539
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.8708333333333333)}",0.30122
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(0.9666666666666666)}",0.30122
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.0625)}",0.30431
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.1583333333333332)}",0.30427
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.2541666666666667)}",0.30427
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.3499999999999999)}",0.30490
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.445833333333333)}",0.30298
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.5416666666666665)}",0.30167
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.6375)}",0.30540
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.7333333333333332)}",0.29985
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.8291666666666664)}",0.29985
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(1.9249999999999998)}",0.29985
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.0208333333333335)}",0.29985
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.1166666666666667)}",0.29985
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.2125)}",0.30244
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.3083333333333336)}",0.30010
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.404166666666667)}",0.30010
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0079375), 'kde_bandwidth': np.float64(2.5)}",0.30010
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.2)}",0.30723
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.29583333333333334)}",0.30091
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.39166666666666666)}",0.30573
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.4875)}",0.30731
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.5833333333333333)}",0.30470
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.6791666666666667)}",0.30280
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.7749999999999999)}",0.30331
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.8708333333333333)}",0.30633
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(0.9666666666666666)}",0.29954
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.0625)}",0.31001
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.1583333333333332)}",0.30673
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.2541666666666667)}",0.30673
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.3499999999999999)}",0.30673
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.445833333333333)}",0.29945
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.5416666666666665)}",0.30057
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.6375)}",0.30021
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.7333333333333332)}",0.30213
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.8291666666666664)}",0.30102
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(1.9249999999999998)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.0208333333333335)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.1166666666666667)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.2125)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.3083333333333336)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.404166666666667)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.00835), 'kde_bandwidth': np.float64(2.5)}",0.30153
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.2)}",0.30267
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.29583333333333334)}",0.30203
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.39166666666666666)}",0.30123
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.4875)}",0.30227
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.5833333333333333)}",0.30460
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.6791666666666667)}",0.30216
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.7749999999999999)}",0.30215
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.8708333333333333)}",0.30036
wfr_bdl,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.008762500000000001), 'kde_bandwidth': np.float64(0.9666666666666666)}",0.30486
